NA2O/K2O,SIO2(WT%),,NA2O/K2O,SIO2(WT%)
2.31111864551799,46.8479004396826,,1.21247049614282,45.7299419092865
1.43486643343205,53.4078810160449,,0.85944442974702,48.9464555016152
1.37794003727392,40.8710636322597,,0.703772973337105,52.3016137164339
1.25533052167074,56.4351608316297,,1.25533052167074,56.4351608316297
0.85944442974702,48.9464555016152,,,
2.26645828057185,45.7515774196172,,,
1.21247049614282,45.7299419092865,,,
0.703772973337105,52.3016137164339,,,
1.19997788225922,58.1192141242163,,,
1.01246947517441,61.995575161971,,,
2.51889560627012,54.2831090967136,,,
1.50878811028387,65.8324017996896,,,
2.85122959544664,48.3605500135585,,,
1.99922350054169,59.0989569460004,,,
0.798459652862628,73.4318997958847,,,
1.48803999047123,49.1599928240624,,,
0.983856853169132,65.1370418540092,,,
