1 -38.91 139.42 -0.00    10.000
1 -38.91 139.42 -2.00    36.109
1 -38.91 139.42 -5.00    75.273
1 -38.91 139.42 -10.00   140.545
1 -38.91 139.42 -15.00   205.817
1 -38.91 139.42 -20.00   271.090
1 -38.91 139.42 -25.00   336.362
1 -38.91 139.42 -30.00   401.635
1 -38.91 139.42 -35.00   466.907
1 -38.91 139.42 -40.00   532.180
1 -38.91 139.42 -60.00   793.270
1 -38.91 139.42 -80.00   978.774
1 -38.91 139.42 -100.00  1164.278
1 -38.91 139.42 -120.00  1265.796
1 -38.91 139.42 -140.00  1283.328
1 -38.91 139.42 -160.00  1300.860
1 -38.91 139.42 -180.00  1318.392
1 -38.91 139.42 -200.00  1335.924
1 -38.91 139.42 -220.00  1353.454
1 -38.91 139.42 -240.00  1370.982
1 -38.91 139.42 -260.00  1388.510
1 -38.91 139.42 -280.00  1406.042
1 -38.91 139.42 -300.00  1423.574
1 -38.91 139.42 -320.00  1441.106
1 -38.91 139.42 -340.00  1458.638
2 -38.45 139.42 -0.00    10.000
2 -38.45 139.42 -2.00    36.762
2 -38.45 139.42 -5.00    76.905
2 -38.45 139.42 -10.00   143.810
2 -38.45 139.42 -15.00   210.715
2 -38.45 139.42 -20.00   277.620
2 -38.45 139.42 -25.00   344.525
2 -38.45 139.42 -30.00   411.430
2 -38.45 139.42 -35.00   478.335
2 -38.45 139.42 -40.00   545.240
2 -38.45 139.42 -60.00   812.860
2 -38.45 139.42 -80.00   990.528
2 -38.45 139.42 -100.00  1168.196
2 -38.45 139.42 -120.00  1265.796
2 -38.45 139.42 -140.00  1283.328
2 -38.45 139.42 -160.00  1300.860
2 -38.45 139.42 -180.00  1318.392
2 -38.45 139.42 -200.00  1335.924
2 -38.45 139.42 -220.00  1353.454
2 -38.45 139.42 -240.00  1370.982
2 -38.45 139.42 -260.00  1388.510
2 -38.45 139.42 -280.00  1406.042
2 -38.45 139.42 -300.00  1423.574
2 -38.45 139.42 -320.00  1441.106
2 -38.45 139.42 -340.00  1458.638
3 -38.00 139.42 -0.00    10.000
3 -38.00 139.42 -2.00    37.491
3 -38.00 139.42 -5.00    78.728
3 -38.00 139.42 -10.00   147.455
3 -38.00 139.42 -15.00   216.182
3 -38.00 139.42 -20.00   284.910
3 -38.00 139.42 -25.00   353.637
3 -38.00 139.42 -30.00   422.365
3 -38.00 139.42 -35.00   491.092
3 -38.00 139.42 -40.00   559.820
