StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Guo2010_Granulite_lowT,0,373,663,0,0,0,0,0,0,0,0,0.01,0,31000,0,0,0,0,0,0,0,0,0,0,2800,granu1,{hAb:0.3/bqz:0.45/mu:0.2/alm:0.05},NaN,Guo2010_Granulite
Guo2010_Granulite_highT,0,673,1002,0,0,0,0,0,0,0,0,4.06,0,67000,0,0,0,0,0,0,0,0,0,0,2800,granu1,{hAb:0.3/bqz:0.45/mu:0.2/alm:0.05},NaN,Guo2010_Granulite
Sun2019_Granulite_1GPa_lowT_DS16,0,623,773,1,1,0,0,0,0,0,0,-0.56,0.07,36000,1000,0,0,0,0,0,0,0,0,0,2800,granu1,{hAb:0.3/bqz:0.45/mu:0.2/alm:0.05},NaN,Sun2019_Granulite
Sun2019_Granulite_1GPa_highT_DS16,0,823,1073,1,1,0,0,0,0,0,0,1.08,0.03,62000,1000,0,0,0,0,0,0,0,0,0,2800,granu1,{hAb:0.3/bqz:0.45/mu:0.2/alm:0.05},NaN,Sun2019_Granulite
Sun2019_Granulite_2GPa_DS15,0,623,1073,2,2,0,0,0,0,0,0,2.19,0.01,68000,1000,0,0,0,0,0,0,0,0,0,2800,granu1,{hAb:0.4/bqz:0.28/mu:0.3/alm:0.02},NaN,Sun2019_Granulite
Sun2019_Granulite_2GPa_DS16,0,623,1073,2,2,0,0,0,0,0,0,1.01,0.05,61000,1000,0,0,0,0,0,0,0,0,0,2800,granu1,{hAb:0.3/bqz:0.45/mu:0.2/alm:0.05},NaN,Sun2019_Granulite
