StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_reference,mechanisms,reference
Dai2015_DryGabbro,3,623,1173,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gabb1,"{an:0.6,hed:0.4}",NaN,Dai2015_DryGabbro
Wang2022_DryGabbro_param1_xCpx,3,773,1073,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gabb1,"{an:0.6,hed:0.4}",NaN,Dai2015_DryGabbro
