StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Dai2018_Gneiss_DS12,3,623,1073,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gn1,{hAb:0.5/bqz:0.4/mu:0.1},NaN,Dai2018_Gneiss
Dai2018_Gneiss_DS13,3,623,1073,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gn1,{hAb:0.25/bqz:0.4/mu:0.35},NaN,Dai2018_Gneiss
Dai2018_Gneiss_DS14,3,623,1073,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gn1,{hAb:0.5/bqz:0.4/mu:0.1},NaN,Dai2018_Gneiss
Yu2011_Gneiss_J85,3,343,962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gn1,{hAb:0.5/bqz:0.4/mu:0.1},NaN,Yu2011_Gneiss
Yu2011_Gneiss_J88,3,343,962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,gn1,{hAb:0.5/bqz:0.4/mu:0.1},NaN,Yu2011_Gneiss
