StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Sun2017_Mudstone_DS6_0_5GPa,3,623,973,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,mud1,None,NaN,Sun2017_Mudstone
Sun2017_Mudstone_DS7_1_5GPa,3,623,973,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,mud1,None,NaN,Sun2017_Mudstone
Sun2017_Mudstone_DS8_2_5GPa,3,623,973,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,mud1,None,NaN,Sun2017_Mudstone
