StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_mat
Huang2006_OnlyWetRingwoodite,1,1273,1473,14,16,0,92,0,0,0,0,0,0,0,0,3.60959,0,104000,2000,0.69,0.03,0,0,0,3900
Yoshino2008_WetRingwoodite,1,300,2000,20,20,0,92,0,0,0,0,2.9232,0,136000,5000,1.4424,0,112000,3000,1,0,670,0,0,3900
Yoshino2009_DryRingwoodite_Xfe,3,500,1900,20,20,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900
Yoshino2012_DryRingwoodite_Xfe,3,500,1600,15.22,18.79,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900
Xu1998_DryRingwoodite,0,1073,1473,20,20,0,92,0,0,0,0,2.92,0.04,116000,1000,0,0,0,0,0,0,0,0,0,3900
