StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_mat
Dai2009_WetWad,1,873,1673,15,15,0,92,0,0,0,0,2.1,0,147000,3000,2.5,0.5,88000,1000,0.72,0.08,0,0,0,3840
Huang2006_OnlyWetWad,1,773,1273,14,16,0,92,0,0,0,0,0,0,0,0,2.57978,0,88000,3000,0.66,0.05,0,0,0,3840
Manthilake2009_WetWad,1,500,2000,16,16,0,84,0,0,0,0,2.60097,0,149000,10000,0.8887,0,68000,3000,1,0,20,0,0,3840
Romano2009_OnlyWetWad,1,1373,1373,16,16,0,92,0,0,0,0,0,0,0,0,1.9268,0.1,66000,0,1.44,0,0,0,0,3840
Yoshino2012_WetWad,1,600,1700,16,16,0,92,0,0,0,0,2.459392,0,145000,2000,1.3979,0,83000,2000,1,0,200,20,0,3840
Yoshino2012b_DryWad,3,800,1600,16.17,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840
Xu1998_DryWad,0,1073,1473,15,15,0,92,0,0,0,0,3.29,0.2,129000,6000,0,0,0,0,0,0,0,0,0,3840
