#ModelName,ModelType,Function1,Pchange(Gpa),Description
Novella2014_GtMelt,0,0.0032,0,Novella2014 Average single value of melt/gt
Hauri2006_GtMelt,0,0.003,0, Hauri2006 Average single value of melt/gt
