StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat
Shen2021,3,473,1073,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Wang2012_PH_Perpendicular,3,443,900,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Wang2012_PH_Parallel,3,395,857,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Wang2012_HA,3,420,824,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Zhou2011,0,523,973,1,1,0,0,0,0,0,0,1.73166,0,73000,0,0,0,0,0,0,0,0,0,0,2800
