StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat
Dai2015,3,1473,1923,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Dai2017_Andesite0.5GPa,0,773,1323,0.5,0.5,0,0,3,0,80000,1000,0,0,0,0,0,0,0,0,0,2800
Dai2017_Andesite1.5GPa,0,773,1323,1,1,0,0,1.97,0,74000,1000,0,0,0,0,0,0,0,0,0,2800
Dai2017_Andesite2GPa,0,773,1323,2,2,0,0,1.06,0,65000,1000,0,0,0,0,0,0,0,0,0,2800
Hui2015_AndesiteGrainInterior,3,723,973,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Hui2015_AndesiteGrainBoundary,3,723,973,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Hui2017_PyroxeneAndesite,3,673,1073,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
