StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_ref,mat_ref,comp_ref,mechanisms,reference
Yang2012_WetAlbite,1,573,1273,0.6,1.2,0,0,0,0,0,0,4.12,0.14,161000,6000,2.49,0.14,77000,2000,0.83,0.06,0,0,0,hAb,hAb,NaN,polaron+proton,Yang2012_DiopsideAlbite
Hu2022_WetPlagioclase_Na_param1,3,573,1023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hAb,hAb,NaN,polaron+proton,Hu2022_WetPlagioclase_Na_param1
Li2018_DryAlbite,0,725,925,1,1,0,0,0,0,0,0,4.5693,0,140000,0,0,0,0,0,0,0,0,0,0,hAb,hAb,NaN,polaron,Li2018_Plagioclase_NaCL
Hu2015_DryAnorthite,3,873,1173,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,an,an,NaN,polaron,Hu2015_DryAnorthite
Hu2011_DryAlbite,3,773,1073,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hAb,hAb,NaN,polaron,Hu2011_DryAlbite
Hu2013_DryAlbite,0,873,1173,1,1,0,0,0,0,0,0,4.11,0,84000,0,0,0,0,0,0,0,0,0,0,hAb,hAb,NaN,polaron,Hu2013_DryAlbite
Han2023_WetAlbite_11ppm,0,673,1173,1,1,1,0,0,0,0,0,4.85,0,124000,0,0,0,0,0,0,0,0,0,0,hAb,hAb,NaN,polaron,Han2023
