StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Hu2018_Hydrogenated,0,623,873,0.5,2,0,0.75,0,0,0,0,2.079,0,81000,0,0,0,0,0,0,0,0,0,0,parg,parg,NaN,polaron,Hu2018
Hu2018_Dehydrogenated,0,623,1173,0.5,2,0,0.75,0,0,0,0,1.87,0,68000,0,0,0,0,0,0,0,0,0,0,parg,parg,NaN,polaron,Hu2018
Wang2012_Dehydrogenation,0,373,873,0.5,2,0,0.75,23.88,0,378000,0,2.03,0,67000,0,0,0,0,0,0,0,0,0,0,parg,parg,NaN,ionic+polaron,Wang2012
Wang2012_LowTemperatureNoDehydrogenation,0,373,873,0.5,2,0,0.75,0,0,0,0,2.03,0,67000,0,1.97,0,0,0,0,0,0,0,0,parg,parg,NaN,polaron,Wang2012
Shen2021,3,473,1073,0.5,1.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parg,parg,NaN,polaron,Shen2020_Amphibolite
Shen2020_TremoliteDehydrogenated,3,673,1273,0.5,2,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tr,tr,NaN,polaron,Shen2020_Amphibolite
