StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Pridmore1976_Chalcopyrite_FineGrained_Median,0,0,0,0,0,0,0,0,0,0,0,3.5228,0,0,0,0,0,0,0,0,0,0,0,0,mt,mt,NaN,polaron,Pridmore1976_Sulphide
Pridmore1976_Chalcopyrite_CoarseGrained_Median,0,0,0,0,0,0,0,0,0,0,0,2.537,0,0,0,0,0,0,0,0,0,0,0,0,mt,mt,NaN,polaron,Pridmore1976_Sulphide
Pridmore1976_Pyrite_CoarseGrained_Median,0,0,0,0,0,0,0,0,0,0,0,2.187,0,0,0,0,0,0,0,0,0,0,0,0,mt,mt,NaN,polaron,Pridmore1976_Sulphide
