StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Dobson2003_LowerOxygenVacancy,0,1471,1726,24,24,0,99,9.06,0.49,348000,18000,2.49,0.78,125000,24000,0,0,0,0,0,0,0,0,0,4020,fo,NaN,ionic+polaron,Dobson2003_Perovskite
Dobson2003_HighOxygenVacancy,0,1273,2048,24,24,0,99,9.84,0.45,366000,18000,3.92,0.03,142000,1000,0,0,0,0,0,0,0,0,0,4020,fo,NaN,ionic+polaron,Dobson2003_Perovskite
Katsura1998_AlFreePerovskite,0,300,2000,23,23,0,93,0,0,0,0,4,0,47000,0,0,0,0,0,0,0,0,0,0,4020,fo,NaN,polaron,Katsura1998_AlFreePerovskite
Xu1998_AlBearingPerovskite,0,1673,1873,25,25,0,91,0,0,0,0,1.87,0,70000,4000,0,0,0,0,0,0,0,0,0,4020,fo,NaN,polaron,Xu1998_Perovskite
Xu1998_AlFreePerovskite,0,1673,1873,25,25,0,91,0,0,0,0,1.12,0,62000,4000,0,0,0,0,0,0,0,0,0,4020,fo,NaN,polaron,Xu1998_Perovskite
Xu2002_AlBearingPerovskite,0,373,1973,25,25,0,91,6.79,0.31,147000,7000,4.49,0.03,54000,1000,0,0,0,0,0,0,0,0,0,4020,fo,NaN,ionic+polaron,Xu2002_Pervoskite
