StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Dai2009_DryandWetEnstatite,1,873,1273,8,8,0,86,0,0,0,0,2.4,0.028,147000,6000,2.6,0,82000,0,0.62,0,0,0,0,en,en,NaN,polaron+proton,Dai2009_WetEnstatite
Yang2012_DryandWetEnstatite,1,573,1273,1.2,1.2,1,67,0,0,0,0,2.39,0.18,105000,3000,3.83,0.1,81000,1000,0.9,0.04,0,0,0,en,en,NaN,polaron+proton,Yang2012_DiopsideAlbite
Zhang2012_DryandWetEnstatite,1,500,1723,3,3,0,90,0,0,0,0,3.99,0.23,188000,7000,2.58,0.14,84000,3000,1,0,80,30,0,en,en,NaN,polaron+proton,Zhang2012_WetEnstatite
Dai2005_DryEnstatite,3,1073,1473,1,4,0,91,0,0,0,0,3.78,0,171500,3500,0,0,0,0,0,0,0,0,0,en,en,NaN,polaron,Dai2005_DryEnstatite
Xu1998_DryEnstatite,0,1273,1673,5,5,0,91,0,0,0,0,3.72,0.06,180000,2000,0,0,0,0,0,0,0,0,0,en,en,NaN,polaron,Xu1998_DryDiopside
Zhang2016_DryOpx_xFe,3,473,1673,1.5,5,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,en,NaN,polaron,Zhang2016_DryOpx_xFe
Fullea2011_DryOpx_xFe,3,773,1273,1,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,en,NaN,polaron,Fullea2011
