StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Sun2021_DryChromite,0,873,1223,2,2,0,0.75,0,0,0,0,3.65,0.04,47000,1000,0,0,0,0,0,0,0,0,0,mt,mt,NaN,polaron,Sun2021_Olivine_Chromite
Dai2019_DryMagnetite,0,873,1273,2,2,0,1,0,0,0,0,2.47,0.02,2000,1000,0,0,0,0,0,0,0,0,0,mt,mt,NaN,polaron,Dai2019_Olivine_Magnetite
