CompName,SiO2,MgO,FeO,Al2O3,CaO,Na2O,Filename
PUM,45,37.8,8.05,4.45,3.55,0.36,KD_lookup_table_PUM.npz
DMM,44.71,38.73,8.18,3.98,3.17,0.13,KD_lookup_table_DMM.npz
