Latitude,Longitude,DiffLogCond,SyntheticLogCond,ModelLogCond
-29.787711,140.302318,4.6641376527579315,-6.360491899072033,-1.6963542463141017
-29.94008,140.292088,4.43657039184713,-6.15591618803319,-1.7193457961860599
-30.092442,140.281779,4.167444380563758,-5.908109692866448,-1.7406653123026903
-30.244797,140.27139,4.087873962748662,-5.787172725650068,-1.6992987629014058
-30.397146,140.260922,4.124728436944682,-5.706854548628591,-1.5821261116839085
-30.549488,140.250374,4.255026048725682,-5.677644483096164,-1.422618434370482
-30.701822,140.239744,4.409458819321124,-5.6919173955469695,-1.2824585762258456
-30.85415,140.229034,4.555367095047588,-5.778757278789772,-1.2233901837421843
-31.006471,140.218241,4.58540679067403,-5.866740544191746,-1.281333753517716
-31.158785,140.207367,4.578723845180376,-6.03163431966361,-1.452910474483234
-31.311092,140.196409,4.47294920943556,-6.171231723249313,-1.698282513813752
-31.463392,140.185368,4.347309974738108,-6.305152928606158,-1.9578429538680495
-31.615685,140.174243,4.291625481433758,-6.465907776247932,-2.1742822948141733
-31.76797,140.163033,4.266114549804554,-6.576283245061435,-2.3101686952568814
-31.920249,140.151738,4.354456286325126,-6.711016318138912,-2.3565600318137867
-32.07252,140.140358,4.469713832245196,-6.799226003726048,-2.3295121714808524
-32.224784,140.128891,4.64541182120834,-6.905015609937226,-2.259603788728886
-32.37704,140.117337,4.839103847005214,-7.019270832049176,-2.1801669850439622
-32.529289,140.105696,4.953197902268448,-7.071356321186264,-2.1181584189178158
-32.681531,140.093966,4.9302329932274125,-7.020162270821517,-2.0899292775941047
-32.833765,140.082148,4.844506975358163,-6.945697508868019,-2.1011905335098557
-32.985991,140.070241,4.726944899577204,-6.87567330707619,-2.148728407498986
-33.13821,140.058243,4.601311902082015,-6.823900772118287,-2.222588870036272
-33.290422,140.046155,4.469787730373676,-6.7778023250003185,-2.3080145946266417
-33.442625,140.033976,4.263599924380561,-6.6512293834297065,-2.387629459049146
-33.594822,140.021705,4.0186454497017845,-6.4631283993768855,-2.4444829496751006
-33.74701,140.009342,3.804389302874703,-6.269692330012245,-2.465303027137542
-33.89919,139.996885,3.6855015281881784,-6.129228805464767,-2.443727277276589
-34.051363,139.984334,3.8097981781001895,-6.191551632809184,-2.3817534547089947
-34.203528,139.971689,4.105474406624437,-6.394306213985412,-2.2888318073609746
-34.355685,139.958949,4.31885337475631,-6.497417813162049,-2.1785644384057394
-34.507834,139.946113,4.403697711317665,-6.469471529828311,-2.0657738185106456
-34.659975,139.93318,4.311322114088918,-6.273138862466382,-1.9618167483774642
-34.812108,139.92015,4.234763345724274,-6.109790684838193,-1.8750273391139183
-34.964232,139.907021,4.1316126457940765,-5.942946356192064,-1.8113337103979876
-35.116349,139.893795,4.082309805691895,-5.859612200487944,-1.777302394796049
-35.268457,139.880468,4.009058328968698,-5.7898177078406965,-1.7807593788719986
-35.420557,139.867042,3.8466107861956598,-5.676015489985642,-1.8294047037899819
-35.572649,139.853514,3.6440016559704542,-5.57061883658966,-1.9266171806192058
-35.724733,139.839885,3.389600982192605,-5.456152187825857,-2.0665512056332522
-35.876808,139.826153,3.20744382138361,-5.439613227690668,-2.2321694063070576
-36.028874,139.812318,3.077327210890129,-5.473829306204558,-2.396502095314429
-36.180933,139.798379,3.0044789417677262,-5.534096638730321,-2.5296176969625948
-36.332982,139.784335,2.9351192199616833,-5.542232424275094,-2.607113204313411
-36.485023,139.770185,2.854606231529348,-5.471973128560495,-2.6173668970311468
-36.637055,139.755929,2.8158808176539813,-5.380185614886189,-2.5643047972322077
-36.789079,139.741566,2.8506166517512086,-5.314916458635555,-2.464299806884346
-36.941094,139.727095,2.969031983898066,-5.309471004543604,-2.340439020645538
-37.0931,139.712514,3.102745279772834,-5.317186785328601,-2.214441505555767
-37.245097,139.697824,3.236050283708506,-5.3382527233611965,-2.1022024396526904
-37.397086,139.683023,3.3454168870803773,-5.356413142588566,-2.0109962555081884
-37.549065,139.668111,3.4462007256310407,-5.388578452998515,-1.9423777273674745
-37.701035,139.653086,3.5125608915510567,-5.4080956161004465,-1.89553472454939
-37.852997,139.637948,3.5489257350070043,-5.420044423783794,-1.8711186887767894
-38.004949,139.622695,3.5734578016033813,-5.445679598364205,-1.8722217967608235
-38.156892,139.607328,3.5867967787423156,-5.489631993532499,-1.9028352147901835
-38.308825,139.591844,3.585592248589533,-5.549749844224456,-1.9641575956349229
-38.46075,139.576244,3.5921544843818394,-5.642580335902024,-2.0504258515201848
-38.612665,139.560525,3.542927725515934,-5.688312065504265,-2.145384339988331
-38.764571,139.544687,3.5024671023245166,-5.72388337725965,-2.2214162749351334
-38.916467,139.52873,3.497137998912834,-5.737211564790531,-2.240073565877697
-39.068353,139.512652,3.5827200695166894,-5.737211564790531,-2.1544914952738417
-39.220231,139.496451,3.8225201106443887,-5.737211564790531,-1.9146914541461424
-29.796486,140.47704,4.732291064727288,-6.477690186882724,-1.745399122155436
-29.948909,140.467072,4.449760785253999,-6.263669861929673,-1.8139090766756738
-30.101325,140.457027,4.212276299855642,-6.0356269385678925,-1.8233506387122502
-30.253735,140.446905,4.171104907714855,-5.916608260545948,-1.7455033528310926
-30.406138,140.436705,4.229332026400078,-5.820630437541783,-1.591298411141705
-30.558534,140.426427,4.384892335550065,-5.790195448927064,-1.4053031133769993
-30.710924,140.41607,4.552435060269432,-5.800771119052139,-1.248336058782707
-30.863307,140.405633,4.697362263587825,-5.871816145109151,-1.1744538815213257
-31.015683,140.395117,4.753203528406471,-5.965084908378219,-1.211881379971748
-31.168052,140.384521,4.773918783902757,-6.128900195661626,-1.3549814117588694
-31.320415,140.373844,4.68517650787701,-6.254343272220925,-1.5691667643439153
-31.47277,140.363086,4.571215181655947,-6.376885692009916,-1.805670510353969
-31.625119,140.352246,4.510879331746523,-6.529875291611369,-2.018995959864846
-31.77746,140.341323,4.454145577326422,-6.633678492426806,-2.1795329151003835
-31.929794,140.330317,4.465922472829167,-6.744487558637949,-2.2785650858087823
-32.082122,140.319228,4.512454076187319,-6.836885002229903,-2.3244309260425844
-32.234442,140.308054,4.625274842515365,-6.959737971089915,-2.3344631285745496
-32.386755,140.296796,4.808020228025418,-7.135452128937954,-2.327431900912536
-32.539061,140.285453,4.914712793932017,-7.233363260420469,-2.318650466488452
-32.69136,140.274024,4.889128567598549,-7.207535829177136,-2.3184072615785865
-32.843651,140.262508,4.822680145025972,-7.1550847177563,-2.3324045727303284
-32.995935,140.250905,4.762199387012509,-7.124088212119249,-2.36188882510674
-33.148212,140.239214,4.720843334288437,-7.124263740699585,-2.403420406411148
-33.300481,140.227436,4.635162731841614,-7.08388873860491,-2.448726006763295
-33.452743,140.215568,4.554860197821398,-7.040831299352717,-2.485971101531318
-33.604997,140.203611,4.29541814952659,-6.7983745082451446,-2.502956358718554
-33.757244,140.191563,4.0515177374768925,-6.542422424322631,-2.490904686845739
-33.909483,140.179425,3.9133629628895736,-6.361194323020148,-2.447831360130574
-34.061714,140.167195,4.099952123314576,-6.47923878536636,-2.379286662051784
-34.213938,140.154873,4.324264578869398,-6.620440305919357,-2.2961757270499588
-34.366154,140.142459,4.436705734827978,-6.647077901088311,-2.2103721662603335
-34.518363,140.12995,4.353287120356761,-6.484956440606587,-2.1316693202498262
-34.670563,140.117348,4.123601171522641,-6.187729013946874,-2.0641278424242326
-34.822756,140.104651,3.9662003804678205,-5.9748297310496365,-2.008629350581816
-34.974941,140.091858,3.896230571796056,-5.861851739834993,-1.965621168038937
-35.127118,140.078969,3.8731839868106643,-5.813194809251766,-1.940010822441102
-35.279287,140.065983,3.853586322617216,-5.795629643233625,-1.9420433206164094
-35.431448,140.052899,3.669589386471097,-5.654458485947986,-1.984869099476889
-35.5836,140.039717,3.4605851994710455,-5.53893184323279,-2.0783466437617446
-35.735745,140.026436,3.2161755230746074,-5.437917518871168,-2.2217419957965605
-35.887882,140.013055,3.0554679763142003,-5.455774491290102,-2.4003065149759015
-36.04001,139.999573,2.919855767056452,-5.505636426418775,-2.585780659362323
-36.19213,139.985989,2.8067211057378967,-5.551036622774183,-2.7443155170362865
-36.344242,139.972304,2.6693825527615815,-5.515831103107056,-2.846448550345474
-36.496345,139.958515,2.533131436655728,-5.409155441218814,-2.8760240045630856
-36.64844,139.944623,2.49376798824152,-5.327739258121913,-2.8339712698803936
-36.800526,139.930626,2.5470004685577896,-5.2821219714121845,-2.735121502854395
-36.952604,139.916524,2.6529473370497128,-5.255791426606015,-2.602844089556302
-37.104674,139.902315,2.7848711055363773,-5.244871397049881,-2.4600002915135035
-37.256734,139.888,2.9209504902817054,-5.245893883812935,-2.32494339353123
-37.408787,139.873576,3.070002618949732,-5.277755989484189,-2.2077533705344567
-37.56083,139.859044,3.21500043792511,-5.32892014269955,-2.1139197047744402
-37.712865,139.844402,3.3412228405935975,-5.388330682272041,-2.047107841678444
-37.86489,139.82965,3.4117841566000746,-5.424035523160963,-2.0122513665608888
-38.016907,139.814786,3.4608824601551715,-5.475665763545557,-2.0147833033903852
-38.168915,139.79981,3.48048936687464,-5.537950789001657,-2.0574614221270173
-38.320914,139.784721,3.4856146781583406,-5.621383738317333,-2.1357690601589927
-38.472905,139.769518,3.492095814086136,-5.726597381761014,-2.234501567674878
-38.624886,139.754199,3.4367692464707265,-5.763458503819208,-2.326689257348481
-38.776857,139.738765,3.446893574380607,-5.823474581810133,-2.3765810074295266
-38.92882,139.723214,3.490934224628396,-5.8343177618612385,-2.3433835372328424
-39.080773,139.707545,3.6495429123642826,-5.8343177618612385,-2.184774849496956
-39.232718,139.691757,3.9733789357402616,-5.8343177618612385,-1.8609388261209772
-29.805033,140.651839,4.782599665264399,-6.543637731713171,-1.7610380664487721
-29.957508,140.642133,4.453691226216922,-6.3438797856940825,-1.8901885594771608
-30.109977,140.632353,4.223114080167672,-6.132020731814864,-1.9089066516471909
-30.26244,140.622497,4.201558993387387,-6.019715470096075,-1.8181564767086877
-30.414896,140.612566,4.269884310418575,-5.917545459421683,-1.647661149003109
-30.567345,140.602558,4.435380336158294,-5.8830097897415845,-1.44762945358329
-30.719788,140.592474,4.613321024414833,-5.887454175422593,-1.2741331510077603
-30.872225,140.582313,4.78284814789353,-5.95549102142532,-1.1726428735317893
-31.024654,140.572074,4.877077483269112,-6.043336227916923,-1.1662587446478114
-31.177077,140.561757,4.938415525824999,-6.191033728199272,-1.252618202374273
-31.329494,140.551361,4.900031546107142,-6.3092693674901845,-1.4092378213830428
-31.481903,140.540886,4.821453786662628,-6.425676801585774,-1.6042230149231458
-31.634306,140.530331,4.756616059380823,-6.563789228642178,-1.8071731692613546
-31.786702,140.519696,4.648684774413473,-6.6445762678410665,-1.9958914934275935
-31.939091,140.508979,4.591080832880509,-6.749207372967881,-2.158126540087372
-32.091474,140.498182,4.569415672218858,-6.8583299955313946,-2.2889143233125364
-32.243849,140.487303,4.618209178941206,-7.005313141667249,-2.3871039627260426
-32.396217,140.476341,4.773549849068138,-7.22731367182151,-2.453763822753373
-32.548579,140.465296,4.841297894252163,-7.333696554115649,-2.4923986598634857
-32.700933,140.454167,4.83076346371524,-7.340420986289561,-2.509657522574321
-32.85328,140.442955,4.794475557540031,-7.309505302855496,-2.5150297453154646
